After 3700 steps, rate is 0.00010.  cost is 3.71578, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 3800 steps, rate is 0.00010.  cost is 3.79767, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 3900 steps, rate is 0.00010.  cost is 3.81563, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 4000 steps, rate is 0.00010.  cost is 3.81076, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 4100 steps, rate is 0.00010.  cost is 2.95340, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 4200 steps, rate is 0.00010.  cost is 3.32767, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 4300 steps, rate is 0.00010.  cost is 3.15431, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 4400 steps, rate is 0.00010.  cost is 3.88134, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 4500 steps, rate is 0.00010.  cost is 3.75994, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 4600 steps, rate is 0.00010.  cost is 3.51468, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 4700 steps, rate is 0.00010.  cost is 3.42607, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 4800 steps, rate is 0.00010.  cost is 4.17803, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 4900 steps, rate is 0.00010.  cost is 3.26322, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 5000 steps, rate is 0.00010.  cost is 3.36828, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 5100 steps, rate is 0.00010.  cost is 3.07122, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 5200 steps, rate is 0.00010.  cost is 3.24346, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 5300 steps, rate is 0.00010.  cost is 3.29484, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
